出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,上午10:20,TPE,晚上9:40,HKG,菲律賓航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,PR 891,商務艙 商務艙,"$20,150"
2025-01-20 Monday,上午10:20,TPE,"上午10:15 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,PR 891,商務艙 商務艙,"$20,150"
2025-01-20 Monday,晚上9:50,TPE,"上午10:15 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙 商務艙,"$20,150"
2025-01-20 Monday,晚上9:50,TPE,"中午12:25 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙 商務艙,"$20,150"
2025-01-20 Monday,晚上9:50,TPE,"下午5:55 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙 商務艙,"$20,150"
2025-01-20 Monday,晚上9:50,TPE,"晚上9:40 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙 商務艙,"$20,150"
2025-01-20 Monday,清晨7:00,TPE,上午9:00,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 891,商務艙,"$21,421"
2025-01-20 Monday,上午8:05,TPE,上午10:05,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 851,商務艙,"$21,421"
2025-01-20 Monday,清晨7:35,TPE,下午5:55,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 701,商務艙 商務艙,"$21,799"
2025-01-20 Monday,清晨7:35,TPE,晚上9:40,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 701,商務艙 商務艙,"$21,799"
2025-01-20 Monday,下午1:35,TPE,晚上9:40,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 703,商務艙 商務艙,"$21,799"
2025-01-20 Monday,下午1:35,TPE,"上午10:15 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 703,商務艙 商務艙,"$21,799"
2025-01-20 Monday,晚上11:50,TPE,"上午10:15 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙 商務艙,"$21,799"
2025-01-20 Monday,晚上11:50,TPE,"中午12:25 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙 商務艙,"$21,799"
2025-01-20 Monday,晚上11:50,TPE,"下午5:55 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙 商務艙,"$21,799"
2025-01-20 Monday,清晨7:45,TPE,下午3:20,HKG,越南航空,直達航班。,Non-stop,3 小時 40 分鐘,No,Airbus A321neo,VN 571,"商務艙 <div class=""qj0iCb"">經濟艙<svg focusable=""false"" width=""16"" height=""16"" viewBox=""0 0 24 24"" class=""KP9MEb NMm5M"" aria-hidden=""true""><path d=""M12 5.99L19.53 19H4.47L12 5.99M12 2L1 21h22L12 2z""></path><path d=""M13 16h-2v2h2v-2zm0-6h-2v4h2v-4z""></path></svg></div>","$24,577"
2025-01-20 Monday,清晨7:45,TPE,晚上11:15,HKG,越南航空,直達航班。,Non-stop,3 小時 40 分鐘,No,Airbus A321neo,VN 571,"商務艙 <div class=""qj0iCb"">經濟艙<svg focusable=""false"" width=""16"" height=""16"" viewBox=""0 0 24 24"" class=""KP9MEb NMm5M"" aria-hidden=""true""><path d=""M12 5.99L19.53 19H4.47L12 5.99M12 2L1 21h22L12 2z""></path><path d=""M13 16h-2v2h2v-2zm0-6h-2v4h2v-4z""></path></svg></div>","$24,577"
2025-01-20 Monday,上午11:00,TPE,"上午11:30 (星期二, 1月 21)",HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 888,商務艙 商務艙,"$24,739"
2025-01-20 Monday,上午11:15,TPE,下午4:55,HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 2010,商務艙 商務艙,"$26,193"
2025-01-20 Monday,上午11:25,TPE,晚上7:20,HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 880,商務艙 商務艙,"$27,799"
2025-01-20 Monday,清晨7:55,TPE,下午4:50,HKG,中華航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,CI 160,商務艙 商務艙,"$28,136"
2025-01-20 Monday,清晨7:55,TPE,晚上11:10,HKG,中華航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,CI 160,商務艙 商務艙,"$28,136"
2025-01-20 Monday,中午12:25,TPE,晚上11:10,HKG,大韓航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,KE 186,商務艙 商務艙,"$28,136"
2025-01-20 Monday,下午3:45,TPE,晚上11:10,HKG,中華航空,直達航班。,Non-stop,2 小時 30 分鐘,No,Airbus A321neo,CI 162,商務艙 商務艙,"$28,136"
2025-01-20 Monday,晚上7:25,TPE,"上午11:20 (星期二, 1月 21)",HKG,大韓航空,直達航班。,Non-stop,2 小時 30 分鐘,No,Airbus A321neo,KE 188,商務艙 商務艙,"$28,136"
2025-01-20 Monday,晚上7:25,TPE,"下午2:05 (星期二, 1月 21)",HKG,大韓航空,直達航班。,Non-stop,2 小時 30 分鐘,No,Airbus A321neo,KE 188,商務艙 商務艙,"$28,136"
2025-01-20 Monday,晚上7:25,TPE,"下午4:50 (星期二, 1月 21)",HKG,大韓航空,直達航班。,Non-stop,2 小時 30 分鐘,No,Airbus A321neo,KE 188,商務艙 商務艙,"$28,136"
2025-01-20 Monday,下午3:00,TPE,"凌晨12:15 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,MU 5008,商務艙 商務艙,"$28,193"
2025-01-20 Monday,下午6:40,TPE,"上午11:30 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$28,193"
2025-01-20 Monday,下午2:35,TPE,晚上11:35,HKG,中國南方航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,CZ 3098,商務艙 商務艙,"$29,686"
2025-01-20 Monday,下午2:35,TPE,"上午11:45 (星期二, 1月 21)",HKG,中國南方航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,CZ 3098,商務艙 商務艙,"$29,686"
2025-01-20 Monday,上午8:40,TPE,"上午11:30 (星期二, 1月 21)",HKG,華信航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,AE 991,商務艙 商務艙,"$29,832"
2025-01-20 Monday,下午3:00,TPE,"中午12:40 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,MU 5008,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午3:00,TPE,"下午2:25 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,MU 5008,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午6:40,TPE,"上午10:50 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午6:40,TPE,"中午12:05 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午6:40,TPE,"中午12:40 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午6:40,TPE,"下午2:25 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午6:40,TPE,"下午4:20 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 5006,商務艙 商務艙,"$31,580"
2025-01-20 Monday,下午5:25,TPE,"上午10:35 (星期二, 1月 21)",HKG,中國東方航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,MU 5002,商務艙 商務艙,"$33,080"
2025-01-20 Monday,上午8:10,TPE,晚上10:40,HKG,中華航空,直達航班。,Non-stop,2 小時 55 分鐘,No,Airbus A321neo,CI 705,商務艙 商務艙,"$34,210"
