出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,JX 235,商務艙,"$11,770"
2025-01-20 Monday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,CI 915,商務艙,"$13,173"
2025-01-20 Monday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A330-900neo,BR 869,商務艙,"$13,288"
2025-01-20 Monday,上午11:55,TPE,下午1:55,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,HX 253,商務艙,無法提供價格資訊
2025-01-20 Monday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330-900neo,JX 233,商務艙,"$11,770"
