出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月21日 週六,下午3:45。,TPE,下午6:05。,HKG,香港航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A320,HX 255,經濟艙,"09/22 - $3,093, 09/23 - $3,093, 09/24 - $3,094, 09/25 - $3,095, 09/26 - $3,093, 09/27 - $3,092, 09/28 - $3,090, 09/29 - $3,090, 09/30 - $3,090, 10/01 - $3,085, 10/02 - $3,085, 10/03 - $3,091, 10/04 - $3,092, 10/05 - $3,095, 10/06 - $3,095, 10/07 - $3,095, 10/08 - $3,100, 10/09 - $3,098, 10/10 - $3,098, 10/11 - $3,099, 10/12 - $3,099, 10/13 - $3,099, 10/14 - $3,099, 10/15 - $3,097, 10/16 - $3,098, 10/17 - $3,098, 10/18 - $3,098, 10/19 - $3,097, "
12月21日 週六,晚上9:45。,TPE,晚上11:45。,HKG,香港航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A330,HX 283,經濟艙,"08/21 - $3,955, 08/22 - $24,688, 08/23 - $24,688, 08/24 - $24,690, 08/25 - $24,690, 08/26 - $24,690, 08/27 - $24,684, 08/28 - $24,683, 08/29 - $24,687, 08/30 - $24,690, 08/31 - $24,687, 09/01 - $24,687, 09/02 - $24,687, 09/03 - $24,692, 09/04 - $24,694, 09/05 - $24,696, 09/06 - $24,697, 09/07 - $24,694, 09/08 - $24,614, 09/09 - $24,614, 09/10 - $24,613, 09/11 - $24,615, 09/12 - $24,619, 09/13 - $3,773, 09/14 - $24,617, 09/15 - $24,617, 09/16 - $24,617, 09/17 - $24,610, 09/18 - $24,605, 09/19 - $24,607, 09/20 - $24,610, 09/21 - $24,610, 09/22 - $3,393, 09/23 - $3,393, 09/24 - $3,394, 09/25 - $3,395, 09/26 - $3,393, 09/27 - $3,392, 09/28 - $3,390, 09/29 - $3,390, 09/30 - $3,390, 10/01 - $3,385, 10/02 - $3,388, 10/03 - $3,391, 10/04 - $3,392, 10/05 - $3,395, 10/06 - $3,395, 10/07 - $3,395, 10/08 - $3,395, 10/09 - $3,398, 10/10 - $3,398, 10/11 - $3,399, 10/12 - $3,399, 10/13 - $3,399, 10/14 - $3,399, 10/15 - $3,397, 10/16 - $3,398, 10/17 - $3,398, 10/18 - $3,398, 10/19 - $3,397, "
12月21日 週六,清晨7:15。,TPE,上午9:15。,HKG,中華航空,直達航班。,Non-stop,未找到飛行時間,No,Boeing 737,CI 601,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $4,164, 10/05 - $4,170, 10/06 - $4,170, 10/07 - $4,170, 10/08 - $4,181, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,上午8:05。,TPE,上午10:05。,HKG,中華航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A321neo,CI 903,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $4,164, 10/05 - $4,170, 10/06 - $4,170, 10/07 - $4,170, 10/08 - $4,181, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,上午10:50。,TPE,中午12:55。,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CI 909,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $4,164, 10/05 - $4,170, 10/06 - $4,170, 10/07 - $4,170, 10/08 - $4,181, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,下午2:30。,TPE,下午4:30。,HKG,中華航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A321neo,CI 915,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $3,977, 10/05 - $3,983, 10/06 - $3,983, 10/07 - $3,983, 10/08 - $3,994, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,下午4:55。,TPE,晚上7:00。,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,CI 919,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,266, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $3,977, 10/05 - $3,983, 10/06 - $3,983, 10/07 - $3,983, 10/08 - $3,994, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,下午6:10。,TPE,晚上8:10。,HKG,中華航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A321neo,CI 923,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,151, 10/03 - $4,162, 10/04 - $4,164, 10/05 - $4,170, 10/06 - $4,170, 10/07 - $4,170, 10/08 - $4,181, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,晚上10:30。,TPE,"凌晨12:20 (星期日, 12月 22)。",HKG,中華航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,CI 607,經濟艙,"08/21 - $4,273, 08/22 - $4,271, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $4,270, 08/30 - $4,273, 08/31 - $4,270, 09/01 - $4,270, 09/02 - $4,270, 09/03 - $4,275, 09/04 - $4,277, 09/05 - $4,279, 09/06 - $3,991, 09/07 - $3,988, 09/08 - $3,908, 09/09 - $3,908, 09/10 - $3,907, 09/11 - $3,909, 09/12 - $3,913, 09/13 - $3,911, 09/14 - $3,911, 09/15 - $3,911, 09/16 - $3,911, 09/17 - $3,904, 09/18 - $3,899, 09/19 - $3,901, 09/20 - $3,904, 09/21 - $3,904, 09/22 - $3,892, 09/23 - $3,892, 09/24 - $3,892, 09/25 - $3,895, 09/26 - $3,890, 09/27 - $4,164, 09/28 - $4,160, 09/29 - $4,160, 09/30 - $4,160, 10/01 - $4,151, 10/02 - $4,155, 10/03 - $4,162, 10/04 - $4,164, 10/05 - $4,170, 10/06 - $4,170, 10/07 - $4,170, 10/08 - $4,181, 10/09 - $3,828, 10/10 - $3,829, 10/11 - $3,830, 10/12 - $3,831, 10/13 - $3,831, 10/14 - $3,831, 10/15 - $3,826, 10/16 - $3,828, 10/17 - $3,828, 10/18 - $3,828, 10/19 - $3,587, "
12月21日 週六,清晨7:00。,TPE,上午9:00。,HKG,長榮航空,直達航班。,Non-stop,未找到飛行時間,No,Boeing 787-10,BR 891,經濟艙,"08/21 - $4,273, 08/22 - $4,965, 08/23 - $4,271, 08/24 - $4,273, 08/25 - $4,273, 08/26 - $4,273, 08/27 - $4,267, 08/28 - $4,266, 08/29 - $3,990, 08/30 - $3,993, 08/31 - $4,964, 09/01 - $4,963, 09/02 - $4,963, 09/03 - $6,040, 09/04 - $6,042, 09/05 - $4,972, 09/06 - $4,973, 09/07 - $4,970, 09/08 - $4,890, 09/09 - $4,890, 09/10 - $3,916, 09/11 - $3,918, 09/12 - $3,922, 09/13 - $3,920, 09/14 - $3,920, 09/15 - $3,920, 09/16 - $3,920, 09/17 - $3,913, 09/18 - $3,908, 09/19 - $3,910, 09/20 - $3,913, 09/21 - $3,913, 09/22 - $3,889, 09/23 - $3,889, 09/24 - $4,164, 09/25 - $4,167, 09/26 - $4,162, 09/27 - $4,161, 09/28 - $4,157, 09/29 - $4,157, 09/30 - $4,157, 10/01 - $4,148, 10/02 - $4,152, 10/03 - $4,159, 10/04 - $4,161, 10/05 - $4,167, 10/06 - $4,167, 10/07 - $4,167, 10/08 - $4,178, 10/09 - $4,173, 10/10 - $4,174, 10/11 - $4,175, 10/12 - $4,176, 10/13 - $4,176, 10/14 - $4,176, 10/15 - $3,595, 10/16 - $3,597, 10/17 - $3,597, 10/18 - $3,597, 10/19 - $3,595, "
