出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月22日 週日,晚上7:40。,TPE,下午3:00。,LAX,星宇航空,直達航班。,Non-stop,11 小時 20 分鐘,No,Airbus A350,JX 6,經濟艙,"08/31 - $18,831, 09/01 - $18,831, 09/02 - $18,831, 09/03 - $18,840, 09/04 - $18,844, 09/05 - $18,847, 09/06 - $18,851, 09/07 - $18,844, 09/08 - $18,636, 09/09 - $17,826, 09/10 - $19,414, 09/11 - $19,417, 09/12 - $19,426, 09/13 - $19,424, 09/14 - $19,421, 09/15 - $19,421, 09/16 - $19,421, 09/17 - $19,406, 09/18 - $19,399, 09/19 - $19,402, 09/20 - $19,408, 09/21 - $19,406, 09/22 - $19,406, 09/23 - $19,406, 09/24 - $18,629, 09/25 - $18,635, 09/26 - $18,626, 09/27 - $18,624, 09/28 - $18,614, 09/29 - $18,614, 09/30 - $18,614, 10/01 - $20,280, 10/02 - $20,285, 10/03 - $20,301, 10/04 - $20,303, 10/05 - $20,315, 10/06 - $20,315, 10/07 - $20,315, 10/08 - $20,338, 10/09 - $20,328, 10/10 - $20,329, 10/11 - $20,331, 10/12 - $20,334, 10/13 - $20,334, 10/14 - $20,334, 10/15 - $18,447, 10/16 - $18,450, 10/17 - $18,450, 10/18 - $18,449, 10/19 - $18,447, "
12月22日 週日,晚上11:50。,TPE,晚上7:35。,LAX,中華航空,直達航班。,Non-stop,11 小時 45 分鐘,No,Boeing 777,CI 8,經濟艙,"08/21 - $21,255, 08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,232, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,467, 09/12 - $20,467, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,453, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $17,630, 09/28 - $17,618, 09/29 - $17,618, 09/30 - $22,675, 10/01 - $22,659, 10/02 - $22,756, 10/03 - $21,200, 10/04 - $21,200, 10/05 - $21,219, 10/06 - $21,219, 10/07 - $21,219, 10/08 - $21,248, 10/09 - $19,379, 10/10 - $19,381, 10/11 - $19,383, 10/12 - $19,387, 10/13 - $19,387, 10/14 - $19,387, 10/15 - $19,375, 10/16 - $19,379, 10/17 - $19,379, 10/18 - $18,493, 10/19 - $18,490, "
12月22日 週日,上午11:20。,TPE,清晨6:50。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"08/21 - $22,996, 08/22 - $22,990, 08/23 - $22,990, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,427, 08/30 - $21,433, 08/31 - $21,427, 09/01 - $21,426, 09/02 - $21,426, 09/03 - $21,438, 09/04 - $21,443, 09/05 - $21,447, 09/06 - $21,452, 09/07 - $21,443, 09/08 - $21,235, 09/09 - $21,235, 09/10 - $21,234, 09/11 - $21,234, 09/12 - $21,310, 09/13 - $21,307, 09/14 - $21,304, 09/15 - $21,304, 09/16 - $21,304, 09/17 - $21,285, 09/18 - $21,275, 09/19 - $21,279, 09/20 - $21,287, 09/21 - $21,285, 09/22 - $21,285, 09/23 - $21,285, 09/24 - $22,731, 09/25 - $22,739, 09/26 - $22,727, 09/27 - $22,724, 09/28 - $22,712, 09/29 - $22,712, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $22,742, 10/07 - $22,742, 10/08 - $22,742, 10/09 - $22,758, 10/10 - $22,758, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, 10/19 - $20,935, "
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月21日 週六,晚上11:40。,TPE,晚上7:00。,LAX,星宇航空,直達航班。,Non-stop,11 小時 20 分鐘,No,Airbus A350,JX 2,經濟艙,"08/21 - $21,970, 08/22 - $21,965, 08/23 - $20,509, 08/24 - $20,514, 08/25 - $20,514, 08/26 - $20,514, 08/27 - $20,499, 08/28 - $20,499, 08/29 - $20,508, 08/30 - $20,512, 08/31 - $20,508, 09/01 - $20,508, 09/02 - $20,508, 09/03 - $20,517, 09/04 - $20,517, 09/05 - $20,524, 09/06 - $20,528, 09/07 - $20,521, 09/08 - $20,313, 09/09 - $19,415, 09/10 - $19,414, 09/11 - $19,417, 09/12 - $19,426, 09/13 - $19,424, 09/14 - $19,421, 09/15 - $19,421, 09/16 - $19,421, 09/17 - $19,406, 09/18 - $19,399, 09/19 - $19,399, 09/20 - $19,408, 09/21 - $19,406, 09/22 - $21,860, 09/23 - $21,860, 09/24 - $21,862, 09/25 - $21,868, 09/26 - $21,859, 09/27 - $21,857, 09/28 - $21,847, 09/29 - $21,847, 09/30 - $21,847, 10/01 - $21,836, 10/02 - $21,841, 10/03 - $21,857, 10/04 - $21,859, 10/05 - $21,871, 10/06 - $21,871, 10/07 - $21,871, 10/08 - $21,894, 10/09 - $21,884, 10/10 - $21,885, 10/11 - $21,887, 10/12 - $21,890, 10/13 - $21,890, 10/14 - $21,890, 10/15 - $19,832, 10/16 - $19,835, 10/17 - $19,835, 10/18 - $18,449, 10/19 - $18,447, "
12月21日 週六,晚上11:50。,TPE,晚上7:35。,LAX,中華航空,直達航班。,Non-stop,11 小時 45 分鐘,No,Boeing 777,CI 8,經濟艙,"08/21 - $21,255, 08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,232, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,463, 09/12 - $20,478, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,455, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $17,630, 09/28 - $17,618, 09/29 - $17,618, 09/30 - $22,675, 10/01 - $22,659, 10/02 - $22,756, 10/03 - $21,200, 10/04 - $21,203, 10/05 - $21,219, 10/06 - $22,480, 10/07 - $22,480, 10/08 - $22,509, 10/09 - $19,379, 10/10 - $19,381, 10/11 - $19,383, 10/12 - $19,387, 10/13 - $19,387, 10/14 - $19,387, 10/15 - $19,375, 10/16 - $20,503, 10/17 - $20,503, 10/18 - $19,552, 10/19 - $18,490, "
12月21日 週六,上午11:20。,TPE,清晨6:50。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"08/21 - $22,996, 08/22 - $22,990, 08/23 - $22,933, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,427, 08/30 - $21,433, 08/31 - $21,427, 09/01 - $21,426, 09/02 - $21,426, 09/03 - $21,438, 09/04 - $21,443, 09/05 - $21,447, 09/06 - $21,452, 09/07 - $21,443, 09/08 - $21,235, 09/09 - $21,235, 09/10 - $21,234, 09/11 - $21,238, 09/12 - $21,310, 09/13 - $21,307, 09/14 - $21,304, 09/15 - $21,304, 09/16 - $21,304, 09/17 - $21,285, 09/18 - $21,275, 09/19 - $21,279, 09/20 - $21,287, 09/21 - $21,285, 09/22 - $21,285, 09/23 - $21,285, 09/24 - $22,731, 09/25 - $22,739, 09/26 - $22,727, 09/27 - $22,724, 09/28 - $22,712, 09/29 - $22,712, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $22,742, 10/07 - $22,742, 10/08 - $22,771, 10/09 - $22,758, 10/10 - $22,760, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, 10/19 - $20,935, "
12月21日 週六,晚上7:45。,TSA,"晚上7:00 (星期日, 12月 22)。",XMN,廈門航空,需轉機 1 次的航班。,25 小時 25 分鐘,39 小時 15 分鐘,No,Boeing 737,MF 882,未找到艙等,
12月21日 週六,下午3:50。,TPE,"上午9:05 (星期日, 12月 22)。",HKG,國泰航空,需轉機 1 次的航班。,18 小時 30 分鐘,33 小時 15 分鐘,No,Airbus A330,CX 443,經濟艙,"08/21 - $24,892, 08/22 - $24,878, 08/23 - $24,876, 08/24 - $24,890, 08/25 - $24,890, 08/26 - $24,890, 08/27 - $24,856, 08/28 - $24,855, 08/29 - $24,873, 08/30 - $24,886, 08/31 - $24,874, 09/01 - $23,853, 09/02 - $23,853, 09/03 - $23,872, 09/04 - $23,880, 09/05 - $23,887, 09/06 - $23,896, 09/07 - $23,882, 09/08 - $23,882, 09/09 - $23,882, 09/10 - $25,110, 09/11 - $25,119, 09/12 - $17,985, 09/13 - $22,529, 09/14 - $22,527, 09/15 - $22,527, 09/16 - $22,527, 09/17 - $17,941, 09/18 - $17,924, 09/19 - $17,932, 09/20 - $17,946, 09/21 - $17,943, 09/22 - $17,943, 09/23 - $17,943, 09/24 - $17,949, 09/25 - $17,961, 09/26 - $17,941, 09/27 - $17,935, 09/28 - $17,915, 09/29 - $17,915, 09/30 - $17,915, 10/01 - $17,881, 10/02 - $17,897, 10/03 - $17,931, 10/04 - $17,939, 10/05 - $17,967, 10/06 - $17,967, 10/07 - $17,967, 10/08 - $18,019, 10/09 - $17,996, 10/10 - $17,999, 10/11 - $18,004, 10/12 - $18,009, 10/13 - $18,009, 10/14 - $18,009, 10/15 - $17,989, 10/16 - $17,996, 10/17 - $17,997, 10/18 - $17,995, 10/19 - $17,987, "
